event_id,media_id,image_policy,relative_path,file_present,frame_order,source_frame_index,sha256,source_export_sha256,licence,licence_url,redistribution_decision
WBGBIF2026_E0001,WBGBIF2026_E0001_F00_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0001_F00_cropped.jpg,true,0,0,6b1f356dfaef59daff65833b6c79bb8742b84e817326fd0b80f57179271ae4ae,6b1f356dfaef59daff65833b6c79bb8742b84e817326fd0b80f57179271ae4ae,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0001,WBGBIF2026_E0001_F01_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0001_F01_cropped.jpg,true,1,1,e06f7dd472dfe7cec0aebccd1f28b331054eb31b33745bb6dcb9a0afd9b04068,e06f7dd472dfe7cec0aebccd1f28b331054eb31b33745bb6dcb9a0afd9b04068,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0001,WBGBIF2026_E0001_F02_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0001_F02_cropped.jpg,true,2,2,a9ccfe2e0b69003a43b4d55f91948974c978e8ab436406f0982891a2c52558cf,a9ccfe2e0b69003a43b4d55f91948974c978e8ab436406f0982891a2c52558cf,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0001,WBGBIF2026_E0001_F03_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0001_F03_cropped.jpg,true,3,3,b8f69e473402af8da822fca70f7e76fc95c83b96d5a1d6bf08ad533b94922e7e,b8f69e473402af8da822fca70f7e76fc95c83b96d5a1d6bf08ad533b94922e7e,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0001,WBGBIF2026_E0001_F04_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0001_F04_cropped.jpg,true,4,4,a669a2d76203d94926f8d949a282788b531d81d39dd0864842a8d692ffe7f6e3,a669a2d76203d94926f8d949a282788b531d81d39dd0864842a8d692ffe7f6e3,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0002,WBGBIF2026_E0002_F00_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0002_F00_cropped.jpg,true,0,0,d1bdd8926688bdf81d0fb47bd822f44ff1c4b64c32d5e4a0b6f6d3419c3c92dc,d1bdd8926688bdf81d0fb47bd822f44ff1c4b64c32d5e4a0b6f6d3419c3c92dc,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0002,WBGBIF2026_E0002_F01_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0002_F01_cropped.jpg,true,1,1,42f73b617c459c55fe23fcb6d4615945182a31645771bc6648b21a4b88da7ad6,42f73b617c459c55fe23fcb6d4615945182a31645771bc6648b21a4b88da7ad6,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0003,WBGBIF2026_E0003_F00_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0003_F00_cropped.jpg,true,0,0,544befde9586423b1197cdfb08f039cd34690171ed5b2c1fc2f6c0d225692d0a,544befde9586423b1197cdfb08f039cd34690171ed5b2c1fc2f6c0d225692d0a,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0003,WBGBIF2026_E0003_F01_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0003_F01_cropped.jpg,true,1,1,15810f6210da1bb3211b7334c76b415a9a57ed235b92a660e036b10d7153a8f2,15810f6210da1bb3211b7334c76b415a9a57ed235b92a660e036b10d7153a8f2,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0007,WBGBIF2026_E0007_F00_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0007_F00_cropped.jpg,true,0,0,cb790c2e31968fbbbdf0fe2bc0bd1b9e16ef12f929496029decb5a37c17261db,cb790c2e31968fbbbdf0fe2bc0bd1b9e16ef12f929496029decb5a37c17261db,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
WBGBIF2026_E0007,WBGBIF2026_E0007_F01_cropped,cropped,model_inputs/images_cropped/WBGBIF2026_E0007_F01_cropped.jpg,true,1,2,1144d6ec58f353cfc3ddd87e9c0a33914d6158cb92e3fc4794f490fd50c7237d,1144d6ec58f353cfc3ddd87e9c0a33914d6158cb92e3fc4794f490fd50c7237d,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,redistribute_derivative_rights_review_passed
